"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TXG","10x Genomics, Inc.","88.98","8557202506.92","n/a","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"AAON","AAON, Inc.","54.5","2839318164.5","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","44.38","1549467431.96","n/a","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AXDX","Accelerate Diagnostics, Inc.","16.53","903281188.8","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"ACU","Acme United Corporation.","22.85","76596170.5","n/a","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ADNT","Adient plc","26.92","2524919216.36","n/a","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"WMS","Advanced Drainage Systems, Inc.","45.77","3148331466.86","n/a","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"AEIS","Advanced Energy Industries, Inc.","71.02","2722312362.6","n/a","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","2.01","46060452.48","n/a","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","53.97","4247002328.73","n/a","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","67.8","1626563764.8","n/a","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav",
"AEMD","Aethlon Medical, Inc.","2.58","17961255.66","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/aemd",
"AGCO","AGCO Corporation","66.85","5048668495.85","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","0.5084","7714661.9096","n/a","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"A","Agilent Technologies, Inc.","83.17","25846615063.79","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AIRI","Air Industries Group","1.57","46850107.81","n/a","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi",
"ALG","Alamo Group, Inc.","126.81","1499668248.24","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/alg",
"AMOT","Allied Motion Technologies, Inc.","45.04","432380396.8","n/a","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/amot",
"ALSN","Allison Transmission Holdings, Inc.","43.62","5200876852.26","n/a","2012","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/alsn",
"AIMC","Altra Industrial Motion Corp.","35.05","2263221050.7","n/a","2006","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aimc",
"AXL","American Axle & Manufacturing Holdings, Inc.","9.69","1089890734.56","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/axl",
"AOBC","American Outdoor Brands Corporation","9.86","542901183.92","n/a","n/a","Capital Goods","Ordnance And Accessories","https://old.nasdaq.com/symbol/aobc",
"AP","Ampco-Pittsburgh Corporation","2.86","36157003.74","n/a","n/a","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/ap",
"APH","Amphenol Corporation","103.36","30645382835.52","n/a","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aph",
