"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"XXII","22nd Century Group, Inc","0.92","123666030.16","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"GOLF","Acushnet Holdings Corp.","30.79","2314333552.16","n/a","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"AGRO","Adecoagro S.A.","7.87","924603140.92","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"ALCO","Alico, Inc.","36.49","272933194.79","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/alco",
"MO","Altria Group","46.22","85875907425.88","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/mo",
"AMAL","Amalgamated Bank","18.48","582398974.08","n/a","2018","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/amal",
"ABEV","Ambev S.A.","3.9","61346818189.8","n/a","2013","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/abev",
"DIT","AMCON Distributing Company","80","45266640","n/a","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dit",
"RYCE","Amira Nature Foods Ltd","7.1744","14477817.2352","n/a","2012","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/ryce",
"BUD","Anheuser-Busch Inbev SA","74.8","146561576576.8","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/bud",
"AXE","Anixter International Inc.","98.11","3319117124.59","n/a","n/a","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/axe",
"APEX","Apex Global Brands Inc.","0.7184","4001868.752","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/apex",
"ATR","AptarGroup, Inc.","116.7","7460290119.3","n/a","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/atr",
"ADM","Archer-Daniels-Midland Company","45.71","25446131458.65","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/adm",
"FUV","Arcimoto, Inc.","1.75","34013680.75","n/a","2017","Consumer Non-Durables","Motor Vehicles","https://old.nasdaq.com/symbol/fuv",
"ARLO","Arlo Technologies, Inc.","3.73","282392671.43","n/a","2018","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/arlo",
"AFI","Armstrong Flooring, Inc.","3.57","76755742.56","n/a","2016","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/afi",
"AWI","Armstrong World Industries Inc","102.64","4977829588","n/a","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/awi",
"AHI","Avadim Health, Inc.","n/a","0","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/ahi",
"BGS","B&G Foods, Inc.","14.41","922883392.09","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/bgs",
"BRBR","BellRing Brands, Inc.","21.26","838251440.72","n/a","2019","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/brbr",
"BERY","Berry Global Group, Inc.","41.95","5554180000","n/a","2012","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/bery",
"BYND","Beyond Meat, Inc.","116.44","7163611433.28","n/a","2019","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/bynd",
"BHAT","Blue Hat Interactive Entertainment Technology","1.23","43050000","n/a","2019","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/bhat",
"SAM","Boston Beer Company, Inc. (The)","363.52","4374601497.6","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/sam",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","4.4948","265938415.366","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/lnd",
"BRFS","BRF S.A.","7.29","5917728942","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/brfs",
"BRID","Bridgford Foods Corporation","22.17","201233365.44","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/brid",
"BV","BrightView Holdings, Inc.","15.67","1642926274.09","n/a","2018","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/bv",
"BTI","British American Tobacco p.l.c.","44.46","101986303517.28","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/bti",
"BG","Bunge Limited","54.08","7661106539.84","n/a","2001","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/bg",
"CVGW","Calavo Growers, Inc.","75.08","1321004144.68","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/cvgw",
"CAL","Caleres, Inc.","17.77","720304497.74","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/cal",
"ELY","Callaway Golf Company","20.2","1900951825.2","n/a","1992","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/ely",
"CALM","Cal-Maine Foods, Inc.","36.79","1791419774.43","n/a","1996","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/calm",
"CPB","Campbell Soup Company","48.88","14744913361.36","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/cpb",
"GOOS","Canada Goose Holdings Inc.","31.84","1894207640.64","n/a","2017","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/goos",
"CSWC","Capital Southwest Corporation","20.59","383543890.02","n/a","n/a","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/cswc",
"CSWCL","Capital Southwest Corporation","25.8654","0","n/a","n/a","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/cswcl",
"CPRI","Capri Holdings Limited","30.5","4555644608.5","n/a","2011","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/cpri",
"CRI","Carter&#39;s, Inc.","106.53","4703019006.51","n/a","2003","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/cri",
"YCBD","cbdMD, Inc.","1.13","52180977.28","n/a","2017","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/ycbd",
"CELH","Celsius Holdings, Inc.","5.69","391900212.33","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/celh",
"CTRC","Centric Brands Inc.","2.1","126602160.3","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/ctrc",
"PLIN","China Xiangtai Food Co., Ltd.","2.86","63188917.22","n/a","2019","Consumer Non-Durables","Meat/Poultry/Fish","https://old.nasdaq.com/symbol/plin",
"CTAS","Cintas Corporation","291.58","30251657680.84","n/a","1983","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/ctas",
"CLAR","Clarus Corporation","13.255","394463763.1","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/clar",
"KOF","Coca Cola Femsa S.A.B. de C.V.","64.08","107697065040.72","n/a","1993","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/kof",
"KO","Coca-Cola Company (The)","59.19","253333200000","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ko",
"COKE","Coca-Cola Consolidated, Inc.","279.36","2618633759.04","n/a","1972","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/coke",
"CCEP","Coca-Cola European Partners plc","53.7","24514397868.6","n/a","2016","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ccep",
"JVA","Coffee Holding Co., Inc.","3.7875","21093909.3375","n/a","2005","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/jva",
"CL","Colgate-Palmolive Company","76.03","65161072046.6","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/cl",
"COLM","Columbia Sportswear Company","90.45","6107726428.65","n/a","1998","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/colm",
"CCU","Compania Cervecerias Unidas, S.A.","18.43","3404968965.48","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ccu",
"CAG","ConAgra Brands, Inc.","31.95","15553701325.35","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/cag",
"STZ","Constellation Brands Inc","200.34","38394685392.84","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/stz",
"CMT","Core Molding Technologies Inc","3.15","26047602","n/a","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/cmt",
"CORE","Core-Mark Holding Company, Inc.","23.62","1076299011.88","n/a","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/core",
"CTVA","Corteva, Inc.","31.04","23235830080","n/a","2019","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/ctva",
"CZZ","Cosan Limited","21.89","4855405642.67","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/czz",
"COT","Cott Corporation","15.63","2106974187.93","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/cot",
"COTY","Coty Inc.","12.03","9149426605.2","n/a","2013","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/coty",
"BREW","Craft Brew Alliance, Inc.","16.11","314079061.77","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/brew",
"CROX","Crocs, Inc.","37.84","2596104999.84","n/a","2006","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/crox",
"DAR","Darling Ingredients Inc.","28.2","4616650143.6","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/dar",
"DTEA","DAVIDsTEA Inc.","1.41","36772323.42","n/a","2015","Consumer Non-Durables","Food Chains","https://old.nasdaq.com/symbol/dtea",
"DECK","Deckers Outdoor Corporation","191.38","5356264400.06","n/a","1993","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/deck",
"DLA","Delta Apparel, Inc.","24.88","173881916.24","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/dla",
"DSWL","Deswell Industries, Inc.","2.7662","44024734.1218","n/a","1995","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/dswl",
"DEO","Diageo plc","163.19","95341507925.85","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/deo",
"DPZ","Domino&#39;s Pizza Inc","275.51","11268485183.58","n/a","2004","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dpz",
"ELF","e.l.f. Beauty, Inc.","18.96","947206050","n/a","2016","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/elf",
"EAST","Eastside Distilling, Inc.","3.7","35797603.6","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/east",
"EPC","Edgewell Personal Care","30.48","1655066560.32","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/epc",
"EDNT","Edison Nation, Inc.","2.66","16108507.8","n/a","2018","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/ednt",
"MSN","Emerson Radio Corporation","0.8805","18528055.086","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/msn",
"ENS","Enersys","71.75","3035663503.25","n/a","2004","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/ens",
"ENTG","Entegris, Inc.","55.54","7490923398.44","n/a","2000","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/entg",
"ESCA","Escalade, Incorporated","9.03","128813311.2","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/esca",
"EL","Estee Lauder Companies, Inc. (The)","208.96","75129529804.16","n/a","1995","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/el",
"EVK","Ever-Glory International Group, Inc.","1.37","20278424.9","n/a","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/evk",
"FARM","Farmer Brothers Company","13.53","232410871.44","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/farm",
"FAMI","FARMMI, INC.","0.7801","11228010.504","n/a","2018","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/fami",
