"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","0.239","40247514.677","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","34.19","144746339.53","n/a","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"ARLP","Alliance Resource Partners, L.P.","8.56","1086397510.32","n/a","1999","Energy","Coal Mining","https://old.nasdaq.com/symbol/arlp",
"AR","Antero Resources Corporation","1.75","520884512.75","n/a","2013","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ar",
"APA","Apache Corporation","28.11","10570380027.57","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/apa",
"ARCH","Arch Coal, Inc.","55.69","837675280.26","n/a","2016","Energy","Coal Mining","https://old.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.38","258647199.72","n/a","n/a","Energy","Electric Utilities: Central","https://old.nasdaq.com/symbol/at",
"BKR","Baker Hughes Company","22.45","23062810061.9","n/a","2017","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/bkr",
"BLDP","Ballard Power Systems, Inc.","10.75","2519486927.75","n/a","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","0.92","7614987.2","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/brn",
"BTE","Baytex Energy Corp","1.06","591803607.4","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/bte",
"BRY","Berry Petroleum Corporation","7.335","594115965.675","n/a","2018","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/bry",
"BBL","BHP Group Plc","43.17","109149628342.26","n/a","n/a","Energy","Coal Mining","https://old.nasdaq.com/symbol/bbl",
"BSM","Black Stone Minerals, L.P.","9.84","2026644333.6","n/a","2015","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/bsm",
"BE","Bloom Energy Corporation","9.85","1162375313.1","n/a","2018","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/be",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","1.15","46935511.2","n/a","2011","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","5.29","159539094.51","n/a","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bkepp",
"BCEI","Bonanza Creek Energy, Inc.","19.05","393096026.1","n/a","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/bcei",
"BORR","Borr Drilling Limited","4.7","520846249.7","n/a","2019","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/borr",
"BPMP","BP Midstream Partners LP","14.23","1490781403.25","n/a","2017","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bpmp",
"BP","BP p.l.c.","36.37","122768616312.36","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","7.3","156220000","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/bpt",
"BGG","Briggs & Stratton Corporation","3.38","143576197.7","n/a","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bgg",
"MNRL","Brigham Minerals, Inc.","17.04","967258696.32","n/a","2019","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mnrl",
"BROG","Brooge Holdings Limited ","11.07","1213136436.78","n/a","2018","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/brog",
"BROGW","Brooge Holdings Limited ","1.15","0","n/a","2018","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/brogw",
"BC","Brunswick Corporation","61.56","5021674263.36","n/a","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bc",
"BWXT","BWX Technologies, Inc.","65.69","6256994374.77","n/a","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bwxt",
"COG","Cabot Oil & Gas Corporation","14.64","5826720000","n/a","1990","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cog",
"WHD","Cactus, Inc.","28.79","2162612614.42","n/a","2018","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/whd",
"CRC","California Resources Corporation","6.92","339899680.92","n/a","2014","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/crc",
"CPE","Callon Petroleum Company","3.01","1192365248.34","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cpe",
"CLMT","Calumet Specialty Products Partners, L.P.","4.15","321875473.25","n/a","2006","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/clmt",
"CEI","Camber Energy, Inc.","1.72","8600000","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cei",
"CNQ","Canadian Natural Resources Limited","28.97","34389041145.15","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cnq",
"CPST","Capstone Turbine Corporation","2.58","23524228.44","n/a","2000","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cpst",
"CVE","Cenovus Energy Inc","8.93","10972620945.64","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cve",
"CDEV","Centennial Resource Development, Inc.","2.97","821928319.74","n/a","2016","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cdev",
"CHAP","Chaparral Energy, Inc.","0.96","44548882.56","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/chap",
"CHK","Chesapeake Energy Corporation","0.5121","1000726701.7707","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/chk",
"CHKR","Chesapeake Granite Wash Trust","0.6488","30331400","n/a","2011","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/chkr",
"CVX","Chevron Corporation","108.94","205991616160.72","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/cvx",
"SNP","China Petroleum & Chemical Corporation","53.63","64930489708.48","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/snp",
"CYD","China Yuchai International Limited","12.95","529114868.45","n/a","1994","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cyd",
"XEC","Cimarex Energy Co","43.06","4383944628.4","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/xec",
"CKX","CKX Lands, Inc.","9.33","18123478.35","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ckx",
"CEO","CNOOC Limited","156.04","1675533489.84","n/a","2001","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ceo",
"CNX","CNX Resources Corporation","7.41","1383024348.42","n/a","1999","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cnx",
"CRK","Comstock Resources, Inc.","6.01","1142005066.82","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/crk",
"CXO","Concho Resources Inc.","79.09","15899359487.55","n/a","2007","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cxo",
"COP","ConocoPhillips","57.99","62911495320","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/cop",
"CCR","CONSOL Coal Resources LP","10.53","290973636.72","n/a","2015","Energy","Coal Mining","https://old.nasdaq.com/symbol/ccr",
"CEIX","CONSOL Energy Inc.","9.39","243212972.25","n/a","2017","Energy","Coal Mining","https://old.nasdaq.com/symbol/ceix",
"MCF","Contango Oil & Gas Company","3.61","466099944.38","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mcf",
"CLR","Continental Resources, Inc.","26.86","9976356429.62","n/a","2007","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/clr",
"CTRA","Contura Energy, Inc.","6.41","116752342.54","n/a","2018","Energy","Coal Mining","https://old.nasdaq.com/symbol/ctra",
"CLB","Core Laboratories N.V.","34.66","1538032370.32","n/a","1995","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/clb",
"CPG","Crescent Point Energy Corporation","3.19","1688785754.37","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cpg",
"CRT","Cross Timbers Royalty Trust","8.01","48060000","n/a","1992","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/crt",
"CAPL","CrossAmerica Partners LP","18.97","653704985.92","n/a","2012","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/capl",
"CCLP","CSI Compressco LP","2","94157058","n/a","2011","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/cclp",
"CMI","Cummins Inc.","160.8","24232560000","n/a","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cmi",
"CVI","CVR Energy Inc.","33.91","3408992612.09","n/a","2007","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/cvi",
"DWSN","Dawson Geophysical Company","2.34","54422561.7","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/dwsn",
"DKL","Delek Logistics Partners, L.P.","30.85","753273242.25","n/a","2012","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","28.28","2099371738.8","n/a","2017","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/dk",
"DNR","Denbury Resources Inc.","0.9858","476400014.772","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/dnr",
"DVN","Devon Energy Corporation","22.97","8822777000","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/dvn",
"DO","Diamond Offshore Drilling, Inc.","4.39","604478034.07","n/a","1995","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/do",
"FANG","Diamondback Energy, Inc.","74.24","11911407697.92","n/a","2012","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/fang",
"DMLP","Dorchester Minerals, L.P.","16.46","570829080.04","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/dmlp",
"DRQ","Dril-Quip, Inc.","42.25","1528630519","n/a","1997","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/drq",
"ESTE","Earthstone Energy, Inc.","4.51","291195663.66","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/este",
"ECT","ECA Marcellus Trust I","0.6201","10916860.5","n/a","2010","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ect",
"EC","Ecopetrol S.A.","18.74","38526342915.16","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ec",
"EMR","Emerson Electric Company","73.77","45135514553.58","n/a","n/a","Energy","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/emr",
"ENB","Enbridge Inc","42.18","85396561141.26","n/a","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/enb",
"ENBA","Enbridge Inc","27.63","0","n/a","2018","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/enba",
"ERF","Enerplus Corporation","5.11","1133110312.11","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/erf",
"E","ENI S.p.A.","28.13","51114816666.45","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/e",
"ENSV","ENSERVCO Corporation","0.1403","7801076.9087","n/a","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ensv",
"EOG","EOG Resources, Inc.","74.35","43254160463.25","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/eog",
"EPSN","Epsilon Energy Ltd.","3.1","84893912.3","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/epsn",
"EQT","EQT Corporation","5.3","1354910417.5","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/eqt",
"EQNR","Equinor ASA","17.28","57102888591.36","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/eqnr",
"EPM","Evolution Petroleum Corporation, Inc.","5","164677120","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/epm",
"XOG","Extraction Oil & Gas, Inc.","1.31","181641621.06","n/a","2016","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/xog",
"XOM","Exxon Mobil Corporation","61.47","260263980000","n/a","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/xom",
"FLMN","Falcon Minerals Corporation","4.72","405687379.52","n/a","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/flmn",
"FLMNW","Falcon Minerals Corporation","0.2293","0","n/a","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/flmnw",
"FET","Forum Energy Technologies, Inc.","1.05","115987684.05","n/a","2012","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/fet",
