Symbol,Name,Sector,Industry
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services
BCOW,"1895 Bancorp of Wisconsin, Inc.",Finance,Banks
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions
SRCE,1st Source Corporation,Finance,Major Banks
QFIN,"360 Finance, Inc.",Finance,Finance: Consumer Services
JFK,8i Enterprises Acquisition Corp,Finance,Business Services
JFKKR,8i Enterprises Acquisition Corp,Finance,Business Services
JFKKU,8i Enterprises Acquisition Corp,Finance,Business Services
JFKKW,8i Enterprises Acquisition Corp,Finance,Business Services
JFU,9F Inc.,Finance,Finance: Consumer Services
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services
ACAM,Acamar Partners Acquisition Corp.,Finance,Business Services
ACAMU,Acamar Partners Acquisition Corp.,Finance,Business Services
ACAMW,Acamar Partners Acquisition Corp.,Finance,Business Services
ACNB,ACNB Corporation,Finance,Major Banks
ACTT,Act II Global Acquisition Corp.,Finance,Business Services
ACTTU,Act II Global Acquisition Corp.,Finance,Business Services
ACTTW,Act II Global Acquisition Corp.,Finance,Business Services
AEFC,Aegon Funding Company LLC,Finance,Life Insurance
AEB,Aegon NV,Finance,Life Insurance
AEG,Aegon NV,Finance,Life Insurance
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers
MGR,"Affiliated Managers Group, Inc.",Finance,Investment Managers
AFL,Aflac Incorporated,Finance,Accident &Health Insurance
AGBA,AGBA Acquisition Limited,Finance,Business Services
AGBAR,AGBA Acquisition Limited,Finance,Business Services
AGBAU,AGBA Acquisition Limited,Finance,Business Services
AGBAW,AGBA Acquisition Limited,Finance,Business Services
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services
ALAC,Alberton Acquisition Corporation,Finance,Business Services
ALACR,Alberton Acquisition Corporation,Finance,Business Services
ALACU,Alberton Acquisition Corporation,Finance,Business Services
ALACW,Alberton Acquisition Corporation,Finance,Business Services
ALRS,Alerus Financial Corporation,Finance,Major Banks
Y,Alleghany Corporation,Finance,Property-Casualty Insurers
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks
ALGR,Allegro Merger Corp.,Finance,Business Services
ALGRR,Allegro Merger Corp.,Finance,Business Services
ALGRU,Allegro Merger Corp.,Finance,Business Services
ALGRW,Allegro Merger Corp.,Finance,Business Services
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers
ALLY,Ally Financial Inc.,Finance,Major Banks
AAMC,Altisource Asset Management Corp,Finance,Real Estate
ALUS,Alussa Energy Acquisition Corp.,Finance,Business Services
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMCI,AMCI Acquisition Corp.,Finance,Business Services
AMCIU,AMCI Acquisition Corp.,Finance,Business Services
AMCIW,AMCI Acquisition Corp.,Finance,Business Services
AMTB,Amerant Bancorp Inc.,Finance,Major Banks
AMTBB,Amerant Bancorp Inc.,Finance,Major Banks
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance
AXP,American Express Company,Finance,Finance: Consumer Services
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGB,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGC,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers
AMNB,"American National Bankshares, Inc.",Finance,Major Banks
ANAT,American National Insurance Company,Finance,Life Insurance
ARL,"American Realty Investors, Inc.",Finance,Real Estate
AMRB,American River Bankshares,Finance,Major Banks
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers
ABCB,Ameris Bancorp,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks
ATLO,Ames National Corporation,Finance,Major Banks
AMHC,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
AMHCU,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
AMHCW,Amplitude Healthcare Acquisition Corporation,Finance,Business Services
HKIB,AMTD International Inc.,Finance,Finance: Consumer Services
ANDA,Andina Acquisition Corp. III,Finance,Business Services
ANDAR,Andina Acquisition Corp. III,Finance,Business Services
ANDAU,Andina Acquisition Corp. III,Finance,Business Services
ANDAW,Andina Acquisition Corp. III,Finance,Business Services
AON,Aon plc,Finance,Specialty Insurers
APXT,Apex Technology Acquisition Corporation,Finance,Business Services
APXTU,Apex Technology Acquisition Corporation,Finance,Business Services
APXTW,Apex Technology Acquisition Corporation,Finance,Business Services
APO,"Apollo Global Management, Inc",Finance,Investment Managers
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ARES,Ares Management Corporation,Finance,Investment Managers
ARGD,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers
ARGO,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers
AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate
AROW,Arrow Financial Corporation,Finance,Major Banks
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers
ARYA,ARYA Sciences Acquisition Corp.,Finance,Business Services
ARYAU,ARYA Sciences Acquisition Corp.,Finance,Business Services
ARYAW,ARYA Sciences Acquisition Corp.,Finance,Business Services
AMK,"AssetMark Financial Holdings, Inc.",Finance,Investment Managers
ASB,Associated Banc-Corp,Finance,Major Banks
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service
AIZ,"Assurant, Inc.",Finance,Property-Casualty Insurers
AIZP,"Assurant, Inc.",Finance,Property-Casualty Insurers
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers
ASFI,"Asta Funding, Inc.",Finance,Finance Companies
ATH,Athene Holding Ltd.,Finance,Life Insurance
AAME,Atlantic American Corporation,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks
AUB,Atlantic Union Bankshares Corporation,Finance,Major Banks
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks
AXS,Axis Capital Holdings Limited,Finance,Property-Casualty Insurers
AX,"Axos Financial, Inc.",Finance,Savings Institutions
AXO,"Axos Financial, Inc.",Finance,Savings Institutions
BANC,"Banc of California, Inc.",Finance,Major Banks
BANF,BancFirst Corporation,Finance,Major Banks
BANFP,BancFirst Corporation,Finance,Major Banks
BBAR,Banco BBVA Argentina S.A.,Finance,Commercial Banks
BBVA,Banco Bilbao Viscaya Argentaria S.A.,Finance,Commercial Banks
BBD,Banco Bradesco Sa,Finance,Major Banks
BBDO,Banco Bradesco Sa,Finance,Major Banks
