Symbol,Name,Sector,Industry
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",Technology,Diversified Commercial Services
WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing"
EGHT,8x8 Inc,Technology,EDP Services
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
IOTS,Adesto Technologies Corporation,Technology,Semiconductors
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services
AGYS,"Agilysys, Inc.",Technology,EDP Services
AGMH,AGM Group Holdings Inc.,Technology,EDP Services
AL,Air Lease Corporation,Technology,Diversified Commercial Services
AYR,Aircastle Limited,Technology,Diversified Commercial Services
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
ANTE,AirNet Technology Inc.,Technology,Advertising
KERN,Akerna Corp.,Technology,EDP Services
KERNW,Akerna Corp.,Technology,EDP Services
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software
ALYA,Alithya Group inc.,Technology,"Computer Software: Programming, Data Processing"
ALLT,Allot Ltd.,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software
AYX,"Alteryx, Inc.",Technology,Computer Software: Prepackaged Software
AMBA,"Ambarella, Inc.",Technology,Semiconductors
DOX,Amdocs Limited,Technology,EDP Services
AMRH,"Ameri Holdings, Inc.",Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",Technology,Semiconductors
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
AMN,AMN Healthcare Services Inc,Technology,Professional Services
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components
ADI,"Analog Devices, Inc.",Technology,Semiconductors
PLAN,"Anaplan, Inc.",Technology,Computer Software: Prepackaged Software
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
APY,Apergy Corporation,Technology,Industrial Machinery/Components
APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,Technology,Computer Manufacturing
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors
ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment
ARW,"Arrow Electronics, Inc.",Technology,Electronic Components
ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors
ASGN,ASGN Incorporated,Technology,Professional Services
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components
AZPN,"Aspen Technology, Inc.",Technology,EDP Services
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment
ASUR,Asure Software Inc,Technology,EDP Services
TEAM,Atlassian Corporation Plc,Technology,Computer Software: Prepackaged Software
ATOM,Atomera Incorporated,Technology,Semiconductors
AEYE,"AudioEye, Inc.",Technology,Computer Software: Prepackaged Software
JG,Aurora Mobile Limited,Technology,"Computer Software: Programming, Data Processing"
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
ATHM,Autohome Inc.,Technology,EDP Services
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
AUTO,"AutoWeb, Inc.",Technology,"Computer Software: Programming, Data Processing"
AVLR,"Avalara, Inc.",Technology,Computer Software: Prepackaged Software
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software
AVT,"Avnet, Inc.",Technology,Electronic Components
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components
AXTI,AXT Inc,Technology,Semiconductors
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing"
BAND,Bandwidth Inc.,Technology,Computer Software: Prepackaged Software
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services
BHE,"Benchmark Electronics, Inc.",Technology,Electrical Products
